Model,mean_fit_time (s),std_fit_time (s),mean_score_time (s),std_score_time (s),param_criterion,param_max_features,param_n_estimators,params,split0_val_accuracy,split1_val_accuracy,split2_val_accuracy,split3_val_accuracy,split4_val_accuracy,split5_val_accuracy,split6_val_accuracy,split7_val_accuracy,split8_val_accuracy,split9_val_accuracy,mean_val_accuracy,std_val_accuracy,rank_val_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_val_kappa,split1_val_kappa,split2_val_kappa,split3_val_kappa,split4_val_kappa,split5_val_kappa,split6_val_kappa,split7_val_kappa,split8_val_kappa,split9_val_kappa,mean_val_kappa,std_val_kappa,rank_val_kappa,split0_train_kappa,split1_train_kappa,split2_train_kappa,split3_train_kappa,split4_train_kappa,split5_train_kappa,split6_train_kappa,split7_train_kappa,split8_train_kappa,split9_train_kappa,mean_train_kappa,std_train_kappa,mean train - cross_val accuracy,mean train - cross_val kappa,
RandomForestClassifier,1.136546111,0.294289985,2.452936196,0.579916762,gini,5,log2,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 10}",0.076624636,0.070697221,0.085826385,0.087512291,0.086419753,0.098759305,0.087456272,0.092479675,0.085403727,0.082872928,0.085368912,0.007400737,28,0.100979021,0.093033658,0.095876634,0.092051611,0.090330505,0.096864189,0.095227475,0.105014191,0.092252152,0.089259116,0.095088855,0.004638117,0.074365544,0.068601764,0.083480814,0.085300025,0.084158864,0.096654806,0.08546389,0.090523361,0.083187731,0.080591034,0.083196791,0.007434367,28,0.098916464,0.091000232,0.093593766,0.089869942,0.088040226,0.094705062,0.093136704,0.102974487,0.089962087,0.087055838,0.092925481,0.004697612,0.009719943,0.00972869
RandomForestClassifier,2.01392622,0.599008881,6.530136871,1.803167477,gini,5,log2,30,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 30}",0.119786615,0.122866894,0.132908288,0.153883972,0.172345679,0.164764268,0.156921539,0.144817073,0.180124224,0.171823204,0.151577469,0.020259791,10,0.171468531,0.18209773,0.162867359,0.184605932,0.17507816,0.177658743,0.168487957,0.162056876,0.174507081,0.179897391,0.173872576,0.007285923,0.117832996,0.120904572,0.130922223,0.152003159,0.170560836,0.163014529,0.155149337,0.143007953,0.178392356,0.170055192,0.149735624,0.020343148,10,0.16970797,0.180359002,0.161044304,0.182887241,0.173356566,0.175831915,0.166649504,0.160180975,0.172683957,0.178119842,0.172082128,0.007323793,0.022295107,0.022346504
RandomForestClassifier,5.560759425,1.017856702,18.9638941,2.652225446,gini,5,log2,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.179922405,0.201365188,0.195684159,0.228613569,0.223209877,0.239702233,0.266866567,0.263211382,0.272256729,0.254696133,0.231830265,0.030804107,5,0.290181818,0.291009728,0.252542183,0.273194437,0.263957124,0.273127999,0.282783229,0.279759586,0.274201611,0.263750207,0.274450792,0.011520735,0.17820376,0.19963607,0.193916504,0.22697696,0.221554889,0.238251239,0.265446259,0.261782608,0.270835565,0.253263792,0.230260793,0.030935653,5,0.288787518,0.289582983,0.250953788,0.271721144,0.262470655,0.271665821,0.281331101,0.278280123,0.272702626,0.262250712,0.272974647,0.011564927,0.042620527,0.042713854
RandomForestClassifier,5.45099628,0.906343395,2.481365371,0.5127737,gini,5,0.3,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 10}",0.038312318,0.040468064,0.051495831,0.05653884,0.047901235,0.058560794,0.046976512,0.054369919,0.051242236,0.04640884,0.049204996,0.006277835,50,0.048503497,0.045007268,0.057883562,0.059487237,0.051027244,0.059926348,0.050457181,0.05526184,0.053929464,0.055000827,0.053648447,0.004627591,0.035969266,0.038082135,0.049156413,0.053939042,0.04516687,0.056268537,0.04418857,0.051956376,0.048811402,0.043807995,0.046713578,0.006289412,50,0.046105906,0.042621716,0.055557059,0.057037509,0.048470191,0.057397614,0.047666386,0.052693863,0.051613694,0.052428276,0.051159221,0.004635092,0.004443451,0.004445643
RandomForestClassifier,11.65677776,2.327087994,4.845044971,1.050415187,gini,5,0.3,30,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 30}",0.054801164,0.067284252,0.073565473,0.062438545,0.060740741,0.062034739,0.062468766,0.06097561,0.061594203,0.057458564,0.062396549,0.00489387,42,0.068811189,0.070669798,0.076991843,0.069876557,0.06157883,0.071309006,0.064395629,0.065946909,0.070424882,0.062227616,0.068223226,0.004474934,0.052485998,0.06469307,0.071007433,0.059795071,0.058048318,0.059722851,0.060101885,0.058611336,0.058822581,0.054962772,0.059885999,0.004848932,42,0.066506569,0.068216959,0.074559845,0.067208412,0.059048785,0.068797524,0.062018256,0.063433045,0.067767084,0.05973706,0.065729354,0.004473324,0.005826677,0.005843355
RandomForestClassifier,31.09584057,7.067016755,15.77786045,5.673167331,gini,5,0.3,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 100}",0.058680892,0.074597757,0.081902894,0.080629302,0.082469136,0.082382134,0.077461269,0.071646341,0.066770186,0.061878453,0.073983047,0.008349802,34,0.083300699,0.084535391,0.085652028,0.087862369,0.085417597,0.086820667,0.082125335,0.080972786,0.077645099,0.078115518,0.083244749,0.00332227,0.056381459,0.072020699,0.079347223,0.078055442,0.079911455,0.080129937,0.075175308,0.069323871,0.06438165,0.059361547,0.071550094,0.008316913,34,0.081044375,0.082113093,0.083218214,0.085451502,0.083014733,0.084382611,0.079670418,0.078516689,0.075164089,0.075665685,0.080824141,0.003340907,0.009261702,0.009274047
RandomForestClassifier,6.781634307,2.076229712,1.878844166,0.663709491,gini,5,0.5,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 10}",0.037342386,0.03949293,0.049534085,0.046705998,0.042962963,0.043176179,0.048475762,0.045731707,0.047101449,0.047513812,0.044740934,0.003813359,52,0.048447552,0.048473667,0.046653257,0.048092498,0.044383653,0.048376297,0.052687333,0.047248038,0.058650375,0.049760026,0.04927727,0.003717755,0.034998336,0.036730165,0.046823938,0.043955596,0.040174275,0.040387785,0.046086452,0.043254015,0.044648716,0.044901365,0.042132207,0.003815286,52,0.04610567,0.045659955,0.043878273,0.045515521,0.041552389,0.045574072,0.050436798,0.044608259,0.056077454,0.047157626,0.046656602,0.003808306,0.004536336,0.004524395
RandomForestClassifier,20.10521293,4.326141842,5.415869999,0.865089331,gini,5,0.5,30,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 30}",0.03928225,0.054119941,0.05590976,0.063421829,0.055802469,0.05955335,0.055472264,0.056402439,0.051759834,0.049171271,0.05412048,0.006217483,46,0.053146853,0.059711506,0.068555146,0.06283863,0.056554265,0.061321281,0.060381356,0.064444321,0.055429047,0.055276659,0.059765907,0.004521825,0.036917492,0.051438145,0.053605189,0.061113394,0.053077827,0.057191816,0.053080844,0.054027386,0.049329305,0.046603056,0.051670244,0.00623609,46,0.050790019,0.057162513,0.066297258,0.060501461,0.053990966,0.058742587,0.057793111,0.061911981,0.052854792,0.052729609,0.05727743,0.004569314,0.005645427,0.005607186
RandomForestClassifier,44.65413156,5.368665496,14.52537491,4.234951381,gini,5,0.5,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100}",0.063530553,0.064846416,0.06424718,0.066863324,0.067654321,0.067990074,0.062468766,0.053353659,0.056418219,0.064088398,0.063199077,0.004500886,41,0.079216783,0.078888516,0.072466197,0.071831537,0.073246985,0.070751032,0.071086084,0.062607825,0.066648153,0.073205715,0.071994883,0.004712093,0.060921046,0.062243991,0.061619502,0.064228923,0.065040481,0.065651571,0.060148714,0.050900178,0.05399582,0.061525145,0.060679634,0.004463864,41,0.076590875,0.076464678,0.069991242,0.069346021,0.070786162,0.068210772,0.068588852,0.060024804,0.064119975,0.070698082,0.069482146,0.004726045,0.008795806,0.008802512
RandomForestClassifier,8.45535934,3.074231426,1.953748918,0.817392709,gini,5,0.7,10,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 0.7, 'n_estimators': 10}",0.029097963,0.032666992,0.040215792,0.042281219,0.04345679,0.038709677,0.035482259,0.041666667,0.034679089,0.042541436,0.038019762,0.00463394,54,0.038993007,0.03991949,0.042630462,0.041054572,0.046337651,0.036714652,0.03780107,0.041126384,0.041377395,0.04656038,0.041251506,0.003088502,0.026288708,0.03025635,0.037809576,0.039487783,0.040671183,0.035873022,0.032614653,0.038772081,0.032155647,0.03993357,0.035325681,0.004607882,54,0.036118046,0.03746441,0.040179921,0.038197339,0.043747048,0.033750499,0.034936104,0.03836419,0.039001802,0.043964784,0.038572414,0.003202065,0.003231744,0.003246734
